,title,price,average,ratings,link
67,Leone de Castris Villa Santera Primitivo di Manduria,"13,14","4,0",7340 beoordeling,https://www.vivino.com/NL/nl/wines/1563406?cart_item_source=text-search
68,Feudi Salentini 125 Uno Due Cinque Primitivo del Salento,"7,49","3,9",5839 beoordeling,https://www.vivino.com/NL/nl/wines/3074757?cart_item_source=text-search
69,Latentia Winery Primitivo,-,"3,6",3332 beoordeling,https://www.vivino.com/NL/nl/wines/158433596?cart_item_source=text-search
70,Paololeo Primitivo di Manduria,"13,95","3,9",5261 beoordeling,https://www.vivino.com/NL/nl/wines/1595525?cart_item_source=text-search
71,Torrevento Primitivo Puglia Infinitum,-,"3,7",6431 beoordeling,https://www.vivino.com/NL/nl/wines/3735839?cart_item_source=text-search
72,Poggio Vecchio Primitivo di Manduria,-,"3,7",3484 beoordeling,https://www.vivino.com/NL/nl/wines/1487162?cart_item_source=text-search
73,Ultimo Passo Primitivo,"4,99","3,5",3671 beoordeling,https://www.vivino.com/NL/nl/wines/1571606?cart_item_source=text-search
74,Varvaglione Moi Primitivo Puglia,"6,99","3,6",6477 beoordeling,https://www.vivino.com/NL/nl/wines/1471748?cart_item_source=text-search
75,Amore Passo Primitivo - Malvasia Nera,-,"3,7",3841 beoordeling,https://www.vivino.com/NL/nl/wines/1503776?cart_item_source=text-search
76,Latentia Winery 90 Novantaceppi Primitivo,-,"3,8",3187 beoordeling,https://www.vivino.com/NL/nl/wines/155047797?cart_item_source=text-search
77,San Marzano Sud Primitivo di Manduria,"13,18","4,0",6255 beoordeling,https://www.vivino.com/NL/nl/wines/1478647?cart_item_source=text-search
78,Faunus Gold Collection Primitivo di Manduria,-,"3,8",2517 beoordeling,https://www.vivino.com/NL/nl/wines/34912463?cart_item_source=text-search
79,Torri d'Oro Primitivo di Manduria,-,"4,0",3882 beoordeling,https://www.vivino.com/NL/nl/wines/146683790?cart_item_source=text-search
80,Menhir Quota 29 Primitivo,"9,95","3,9",5454 beoordeling,https://www.vivino.com/NL/nl/wines/2025020?cart_item_source=text-search
81,Paololeo Passo del Cardinale Primitivo di Manduria,"13,49","4,0",5611 beoordeling,https://www.vivino.com/NL/nl/wines/2100797?cart_item_source=text-search
82,Rinforzo Primitivo Salento,-,"4,3",5115 beoordeling,https://www.vivino.com/NL/nl/wines/4975582?cart_item_source=text-search
83,Produttori Vini Manduria Lirica Primitivo di Manduria,-,"3,8",4494 beoordeling,https://www.vivino.com/NL/nl/wines/1366776?cart_item_source=text-search
84,Vecchia Torre Barocco Reale Primitivo,-,"4,1",3838 beoordeling,https://www.vivino.com/NL/nl/wines/23773976?cart_item_source=text-search
85,Parta Adoeno Primitivo di Manduria,-,"3,5",2302 beoordeling,https://www.vivino.com/NL/nl/wines/160779275?cart_item_source=text-search
86,Contessa Carola Primitivo di Manduria,-,"4,1",3760 beoordeling,https://www.vivino.com/NL/nl/wines/155201195?cart_item_source=text-search
87,Masseria Pietrosa Primitivo di Manduria,-,"4,0",5888 beoordeling,https://www.vivino.com/NL/nl/wines/1469665?cart_item_source=text-search
88,Adriatico Primitivo di Puglia,-,"3,7",1990 beoordeling,https://www.vivino.com/NL/nl/wines/144937776?cart_item_source=text-search
89,Duca di Sargento Primitivo,-,"3,3",4018 beoordeling,https://www.vivino.com/NL/nl/wines/45940462?cart_item_source=text-search
90,Polvanera 14 Primitivo Gioia del Colle,"15,24","4,0",5559 beoordeling,https://www.vivino.com/NL/nl/wines/3877402?cart_item_source=text-search
91,Vigneti del Salento Vigne Vecchie Primitivo di Manduria,"21,45","4,3",5701 beoordeling,https://www.vivino.com/NL/nl/wines/6187982?cart_item_source=text-search
92,Itinera Prima Classe Primitivo,-,"3,9",3936 beoordeling,https://www.vivino.com/NL/nl/wines/9471409?cart_item_source=text-search
93,Zonin 20 Ventiterre Primitivo Salento,-,"3,4",1956 beoordeling,https://www.vivino.com/NL/nl/wines/154436981?cart_item_source=text-search
94,Masca del Tacco Lu Rappaio Primitivo di Manduria,"14,50","4,2",5803 beoordeling,https://www.vivino.com/NL/nl/wines/49967624?cart_item_source=text-search
95,Feudo Monaci Primitivo,"8,95","3,3",4023 beoordeling,https://www.vivino.com/NL/nl/wines/3355919?cart_item_source=text-search
